指标名称,SHIBOR:隔夜,SHIBOR:1个月,SHIBOR:3个月
2023/12/25,2.5060,2.6010,1.5920
2023/12/26,2.5090,2.6000,1.4940
2023/12/27,2.5060,2.5900,1.4670
2023/12/28,2.4990,2.5560,1.4290
2023/12/29,2.4820,2.5300,1.7460
2024/01/02,2.3980,2.4500,1.5860
2024/01/03,2.3540,2.4230,1.6040
2024/01/04,2.3290,2.3990,1.5890
2024/01/05,2.3200,2.3960,1.5880
2024/01/08,2.3120,2.3960,1.5850
2024/01/09,2.3040,2.3970,1.5820
2024/01/10,2.2980,2.4000,1.5880
2024/01/11,2.2960,2.4000,1.6270
2024/01/12,2.2970,2.4000,1.6780
2024/01/15,2.2970,2.4000,1.6770
2024/01/16,2.3000,2.4010,1.7450
2024/01/17,2.3000,2.4020,1.8320
2024/01/18,2.3000,2.4000,1.7340
2024/01/19,2.3000,2.4000,1.7240
2024/01/22,2.3000,2.4000,1.7600
2024/01/23,2.3000,2.4000,1.7600
2024/01/24,2.3000,2.4000,1.8080
2024/01/25,2.3000,2.4000,1.8440
2024/01/26,2.3010,2.4000,1.8200
